index;unitID;name;address;city;postalCode;accomodation_type;lanFile;lonFile;searchTerm;state;street;houseNumber;lat;lng;relevance;mqCity;mqStreet;mqHouseNumber
5127;601742;dom & house - sopot apartments;ul. 3 Maja 42A/2;Sopot;81-743;Hotels;NA;NA;ul. 3 Maja 42A/2, 81-743 Sopot;Woj. Pomorskie;ulica 3 Maja;42A;54.43604;18.56597;0.93;1;1;1
5128;253878;lezno palace hotel;Leźno 45;Żukowo;80-298;Other hotel facilities;NA;NA;Leźno 45, 80-298 Żukowo;Woj. Pomorskie;Leźno;45;54.3484351;18.4325849;1;1;1;1
5129;1068469760;visento apartaments kreta 2-54;Białystok;Białystok;15-345;Hotels;NA;NA;Białystok, 15-345 Białystok;Woj. Podlaskie;;undefined;53.11104;23.12565;1;1;NA;NA
5130;1008758048;pcd apartamenty ochota;al. Krakowska 291;Warszawa;02-124;Hotels;NA;NA;al. Krakowska 291,  Warszawa;Woj. Mazowieckie;aleja Krakowska;291;52.1966;20.96326;0.9;1;0.93;1
5131;690197888;city comfort;Wolska 165;Warszawa;01-234;Hotels;NA;NA;Wolska 165, 01-258 Warszawa;Woj. Mazowieckie;ulica Wolska;165;52.2258147;20.9420158;0.85;1;0.9;1
5132;1008776832;pcd apartamenty wola;ul. Skierniewicka 14/U6;Warszawa;01-230;Hotels;NA;NA;ul. Skierniewicka 14/U6, 01-230 Warszawa;Woj. Mazowieckie;ulica Skierniewicka;14;52.23021;20.96954;0.92;1;1;1
5133;944367616;boho loft by loft affair;Bochenska 5;Kraków;31-061;Hotels;NA;NA;Bochenska 5, 31-061 Kraków;Woj. Małopolskie;ulica Bocheńska;5;50.04862;19.94608;1;1;0.9;1
5134;963474144;apartment kosciuszko by loft affair;28 Tadeusza Kosciuszki;Kraków;30-105;Hotels;NA;NA;28 Tadeusza Kosciuszki, 30-105 Kraków;Woj. Małopolskie;ulica Tadeusza Kościuszki;28;50.05391;19.92417;1;1;0.87;1
5135;610884;smrekowa polana resort & spa;Smrekowa 23F;Zakopane;34-500;Hotels;NA;NA;Smrekowa 23F, 34-500 Zakopane;Woj. Małopolskie;ulica Smrekowa;23F;49.30202;19.96593;1;1;0.9;1
5136;774206240;aparthotel dietla 99;ul. Dietla 99;Kraków;31-532;Hotels;NA;NA;ul. Dietla 99, 33-332 Kraków;Woj. Małopolskie;ulica Józefa Dietla;113;50.05811;19.94726;0.84;1;0.95;0.86
5137;944280032;edit szewska 17 apartment old town;Szewska 17;Kraków;31-009;Hotels;NA;NA;Szewska 17, 33-332 Kraków;Woj. Małopolskie;ulica Szewska;17;50.0628;19.93461;0.72;1;0.9;1
5138;1068511008;visento apartaments nowy swiat 9a;ul. Nowy Swiat 9A;Białystok;15-453;Hotels;NA;NA;ul. Nowy Swiat 9A, 15-453 Bialystok;Woj. Podlaskie;ulica Nowy Świat;9A;53.13511;23.1551;1;1;1;1
5139;616130976;goodnight warsaw apartments prozna;Próżna 10;Warszawa;00-107;Hotels;NA;NA;Próżna 10, 00-107 Warszawa;Woj. Mazowieckie;ulica Próżna;10;52.23661;21.00498;1;1;0.9;1
5140;927227680;little home - empire;Celna 2/4;Warszawa;00-287;Hotels;NA;NA;Celna 2/4, 00-287 Warszawa;Woj. Mazowieckie;ulica Celna;02.kwi;52.24986;21.01345;1;1;0.9;1
5141;1049957728;apartament margi plan b;ul. Leszczyńskiego 18;Szczecin;70-394;Hotels;NA;NA;ul. Leszczyńskiego 18,  Szczecin;Woj. Zachodniopomorskie;ulica Stanisława Leszczyńskiego;18;53.44107;14.52602;0.99;1;0.95;1
5142;1049965088;apartament margi joy;al. Wojska Polskiego 56;Szczecin;70-477;Hotels;NA;NA;al. Wojska Polskiego 56,  Szczecin;Woj. Zachodniopomorskie;aleja Wojska Polskiego;56;53.43206;14.54064;0.92;1;0.93;1
5143;665623;4uapart - apartment studio platan new york;ul. Wojska Polskiego 18c;Świnoujście;72-600;Hotels;NA;NA;ul. Wojska Polskiego 18c, 72-600 Świnoujście;Woj. Zachodniopomorskie;ulica Wojska Polskiego;18C;53.91332;14.23533;1;1;1;1
5144;685537;penguin apartments city center moniuszki;3110 – ul. Moniuszki 10/10;Katowice;40-005;Hotels;NA;NA;3110 – ul. Moniuszki 10/10, 40-005 Katowice;Woj. Śląskie;ulica Stanisława Moniuszki;10;50.26079;19.02402;0.8;1;0.95;1
5145;885771008;penguin rooms gliwice;various addresses;Gliwice;44-100;Hotels;NA;NA;various addresses, 44-100 Gliwice;Woj. Śląskie;;undefined;50.29204;18.66723;0.45;1;NA;NA
5146;624012;p&o apartments patria;Kruczkowskiego 6B;Warszawa;00-412;Hotels;NA;NA;Kruczkowskiego 6B, 00-412 Warszawa;Woj. Mazowieckie;ulica Leona Kruczkowskiego;6B;52.2315684;21.0305736;1;1;0.85;1
5147;949763808;jessapart – grzybowska apartment;9 Grzybowska;Warszawa;00-132;Hotels;NA;NA;9 Grzybowska, 00-855 Warszawa;Woj. Mazowieckie;ulica Grzybowska;9;52.2362;20.99902;0.86;1;0.9;1
5148;498421;goodnight warsaw apartments on aleja jana pawla ii 35;Pod wieloma adresami;Warszawa;;Hotels;NA;NA;Pod wieloma adresami,  Warszawa;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined
5149;850085600;city of the kings ester apartments;ul. Augustiańska 24/28;Kraków;31-064;Hotels;NA;NA;ul. Augustiańska 24/28, 31-064 Kraków;Woj. Małopolskie;ulica Augustiańska;24;50.04882;19.94216;0.92;1;1;1
5150;630109;cul osw swinoujscie;Słowackiego 4-6;Świnoujście;72-600;Hotels;NA;NA;Słowackiego 4-6, 72-600 Świnoujście;Woj. Zachodniopomorskie;ulica Juliusza Słowackiego;4;53.91844;14.25094;0.91;1;0.85;1
5151;996621664;nice2stay visitoliwa;ul. Obrońców Westerplatte 25;Gdańsk;80-317;Hotels;NA;NA;ul. Obrońców Westerplatte 25, 80-001 Gdańsk;Woj. Pomorskie;ulica Obrońców Westerplatte;25;54.40853;18.56143;0.9;1;1;1
