hotelName;offerId;hotelId;locality;postalCode;street;destinationName;accType;accType_Stat;NACE;lat;lon;price;starRating;guestReviewsRating;guestReviewsTotal;Period.2019.02;Period.2019.03;Period.2019.04;Period.2019.05;Period.2019.06;Period.2019.07;Period.2019.08;Period.2019.09;Period.2019.10;Period.2019.11;Period.2019.12;Period.2020.01;Period.2020.02;Period.2020.03;Period.2020.04;Period.2020.05;Period.2020.06;Period.2020.07;Period.2020.08;Period.NA.20
Chopin Apartments Capital;512542;10646254;Warszawa;01-211;ul. Gie≥dowa 4d;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,230703;20,975999;224,99;4;8,6;32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Oki Doki OLD TOWN;632085536;19721423;Warszawa;00-238;ul. D≥uga 6;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,25065;21,008482;127,15;2;9,2;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Executive Suites Warsaw;430737;6006273;Warszawa;02-691;ul. Obrzeøna 1;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,170064;20,997769;298,99;3,5;8,6;7;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0
Residence St. Andrew's Palace;213280;920418;Warszawa;00-020;ul. Chmielna 30;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,232064;21,012956;283,5;4;9;577;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Chill Apartments MokotÛw Business Center;1181674496;36896078;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,1767;20,9913;279;3;8;2;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0
Press Hostel;634043168;19782599;Warszawa;01-048;Smocza 27 (wejúcie od ul. Niskiej);WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,249803;20,982304;32;2;8,6;32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
ShortStayPoland Øupnicza (B32);1181597472;36893671;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,252048;21,065843;365;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Old Town Apartments;194669;664624;Warszawa;29;Nowy åwiat 29 m. 3;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,249941;21,012559;187,85;4;7,2;84;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
P&O Apartments WilanÛw;542897;11834546;Warszawa;02-972;Sarmacka 2;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,159943;21,078841;413,2;3,5;6;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
SleepWell Boutique Apartments;1441783264;45024477;Warszawa;00-363;Nowy åwiat 50;WojewÛdztwo mazowieckie, Polska;Guest House;Rooms for guest;55.2;52,234925;21,0189;297,6;3,5;10;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0
ShortStayPoland Ch≥odna (B71);1181655840;36895495;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237729;20,989668;280,01;3,5;7;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Kazou Residence Burakowska;1085665856;33895808;Warszawa;01-066;Burakowska 16;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,2569;20,9781;229;3,5;8;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Crystal Apartments;1100574304;34361697;Warszawa;01-161;Obozowa 20;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,2453;20,9652;295;3,5;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartament Gorczewska Przy Metrze;1228176800;38349275;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,236853;20,959762;180;3;9;2;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Nowogrodzka 40/67;1473234912;46007341;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,228561;21,010625;262,7;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
Chopin Apartments Platinum Towers;512537;10646096;Warszawa;00-844;Grzybowska 61;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,234122;20,987101;270;4;7,6;32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hostel Chmielna 5 Rooms & Apartments;1130764608;35305144;Warszawa;00-021;Chmielna 5;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,232976;21,018357;50;2;10;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Apartments Zgoda Warszawa by DeSilva;344028;3516002;Warszawa;00-018;Zgoda 6;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,232752;21,013883;214,93;3;8,6;434;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
ShortStayPoland Aparthotel;1735059168;54189349;Warszawa;02-249;Kazimierza Wielkiego 16;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,18891;20,953689;414;3;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Chopin Apartments Eco;1100682272;34365071;Warszawa;00-848;Øelazna 59 A;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,2339;20,9909;180,01;3;8,6;4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
ShortStayPoland Wynalazek (B20);692751;18354510;Warsaw;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,177882;20,993233;295,01;4;10;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Babka Tower Suites;420012;1062639;Warszawa;00-175;Aleja Jana Paw≥a II 80 - D44;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,25403;20,983323;285;3;5,4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
WawaBed Bed & Breakfast;383739;4479577;Warszawa;01-681;RaduÒska 7;WojewÛdztwo mazowieckie, Polska;Bed and breakfast;Rooms for guest;55.2;52,280873;20,971825;300;4;9;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Warsaw River View;1071767456;33461483;Warszawa;00-347;ul. Wybrzeøe Koúciuszkowskie 43;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,241435;21,028086;238;3,5;8,8;71;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
B&B Sport Rooms;1019577632;31830551;Warszawa;03-977;ul. Chodakowska 12 A;WojewÛdztwo mazowieckie, Polska;Guest House;Rooms for guest;55.2;52,248795;21,067245;183,6;2,5;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartamenty Varsovie Superb Panska 5;1543840032;48213751;Warszawa;00-837;PaÒska 5;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,233009;21,000968;219,99;2,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
Apartamenty MnW;1255099104;39190597;Warszawa;00-260;Mostowa;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,251423;21,010561;224,1;3;9;3;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
Novel;1543703680;48209490;Warszawa;00-634;JaworzyÒska 9/5;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,218596;21,01576;266;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
PCD Aparthotel Ochota;1008758048;31492439;Warszawa;02-133;al. Krakowska 291;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,196842;20,962839;198;3,5;8,4;17;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Palm Aparts Warsaw;642974;16569190;Warszawa;00-375;ul. Smolna 11;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,23305;21,02419;212,63;3;8,6;20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Ego Apartments Old Town;548348;12300470;Warszawa;00-265;Piwna 29;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,249042;21,011652;345,16;3,5;9;115,5;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartamenty Varsovie Chmielna;1543800544;48212517;Warszawa;00-801;Chmielna 98;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,229228;20,999431;187;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
Tatamka Hostel;295885;2530952;Warszawa;00-355;ul. Tamka 30;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,23717;21,02549;36,65;2;8;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
Centrum Scsk Zurawia ;1057463712;33014491;Warszawa;00-680;Øurawia 47;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,22749;21,011364;234;3;7;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Gromada Centrum 4;1766632064;55176002;Warszawa;00-030;pl. PowstaÒcÛw Warszawy 2;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,23425;21,014521;330,01;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Zoliborz Apartament;678637408;21176169;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,27079;20,97537;249;3;6;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
JessApart - Chlodna Apartment;1228060352;38345636;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237729;20,989668;265,68;3,5;10;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Airport Residence Green;1264423840;39481995;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,16272;20,994308;161,5;3;9;2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0
Kwatery Centrum;1507583712;47080741;Warszawa;01-014;Øytnia 13 m. 150;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,239552;20,981196;82,87;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
Chill Apartments Airport Apartments ;756021664;23594427;Warszawa;02-699;K≥obucka 8a;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,166992;20,993178;279;3,5;8,2;29;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
Hipstel;558532;12789470;Warszawa;00-830;ul. ul. PaÒska 67;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,231601;20,993609;57,59;2;8,4;37;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Aparthostel Warszawa;678803168;21181349;Warszawa;03-736;Zπbkowska 23/25/5;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,25424;21,04252;119;2;8,2;30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Oxygen Residence;442008;6613516;Warszawa;00-870;ul. Wronia 45;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,234801;20,985182;180;4;8,4;159;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Dedek Park;392894;3515998;Warszawa;03-727;ul. Zieleniecka 6/8;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,244296;21,049125;229;3;6,8;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Vola Inn;1560423904;48731997;Warszawa;01-234;Kasprzaka 31/103;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,227271;20,952989;313,5;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Nowe Horyzonty;1482302592;46290706;Warszawa;00-724;Bobrowiecka 9;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,200796;21,045883;145;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
AAA STAY Market Square Old Town;676366;17782263;Warszawa;00-270;ul. Krzywe Ko≥o;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,25066;21,01157;219;3;9;63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0
Mamaison Residence Diana;233716;1277332;Warszawa;00-021;Chmielna 13a;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,23274;21,01657;371,4;;9,4;267,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hostel Helvetia;367893;4115788;Warszawa;00-924;SewerynÛw 7;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,238319;21,021003;42;2;8,6;24;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0
El hostel;450900;7671938;Warszawa;01-012;ul. Smocza 1;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,242341;20,987192;40;2;8;20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Sheraton Grand Warsaw;127840;46565;Warszawa;00-493;Boles≥awa Prusa 2;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,227819;21,023883;468,72;5;8,8;441;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0
Chillout Hostel;679441;17872028;Warszawa;00-680;PoznaÒska 7/5;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,22403;21,01234;38,51;2;9;81,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Warsaw Marriott Hotel;233410;16085;Warszawa;00-697;al. Jerozolimskie 65/79;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,22824;21,004793;514,19;5;9;1106;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
InterContinental Warsaw;218451;1030031;Warszawa;00-125;Emilii Plater 49;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,23261;21,00272;585,36;5;9,4;507;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
Amigo Hotel;1352811520;42244110;Warszawa;05-070;SulejÛwek, ul. Trakt Brzeski 100;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,223257;21,272194;200;3;9;2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
Platinum Towers Country 2 Country;428583;4813246;Warszawa;00-845;ul. Grzybowska 61;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,233988;20,98671;255;4;8,6;114;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Mennica Central Apartments;970917248;30309914;Warszawa;00-855;ul. Grzybowska 43A;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,234441;20,991592;290;3;6,8;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Micro Apartments Kazou Residence;1357919904;42403747;Warszawa;01-258;Wolska 165;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,225972;20,94229;189;3;10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
Sofitel Warsaw Victoria;247887;3535;Warszawa;00-065;KrÛlewska 11;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,24013;21,01316;528,99;5;9,2;785;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
Media Park;645477;16306473;Warszawa;04-187;DÍbliÒska 4;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,23748;21,11485;175;3,5;8,4;42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
erApartments Wronia Oxygen;551335;12324750;Warszawa;00-870;Wronia 45;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,235021;20,98514;238;3,5;8,6;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
MG Apartments;772443264;24107602;Warszawa;01-204;Siedmiogrodzka 1;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,23149;20,97725;197,99;3;8;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
PURO Warszawa Centrum;1099059648;34314364;Warszawa;00-023;Widok 9;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,231379;21,01485;407,15;4;9,6;181;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
