hotelName;offerId;hotelId;locality;postalCode;street;destinationName;accType;accType_Stat;NACE;lat;lon;price;starRating;guestReviewsRating;guestReviewsTotal;Period.2019.02;Period.2019.03;Period.2019.04;Period.2019.05;Period.2019.06;Period.2019.07;Period.2019.08;Period.2019.09;Period.2019.10;Period.2019.11;Period.2019.12;Period.2020.01;Period.2020.02;Period.2020.03;Period.2020.04;Period.2020.05;Period.2020.06;Period.2020.07;Period.2020.08;Period.NA.20
Apartamenty Hornigold Grodowa;625912960;19528530;Katowice;40-407;ul. Grodowa 25;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;50,242361;19,094002;795;4;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Wygodne Pokoje H114;1425144512;44504516;Gliwice;44-102;TarnogÛrska 114 C;WojewÛdztwo úlπskie, Polska;Guest House;Rooms for guest;55.2;50,31073;18,69117;80;2;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Apartmood Moniuszki 2;1398795072;43681096;Katowice;40-005;Moniuszki 12;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,260746;19,024338;198;;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
Pensjonacik Ogrody;337513;3167219;WrÍczyca Wielka;42-130;Pierzchno 56 D;WojewÛdztwo úlπskie, Polska;Bed and breakfast;Rooms for guest;55.2;50,861186;19,003573;108;3;8,6;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Aparthotel Ventus Rosa;415753;5314113;Bielsko-Bia≥a;43-300;CieszyÒska 4;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;49,820603;19,041525;180;3;8,4;30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Meta Resort & Vine SPA;542436;1897421;Szczyrk;43-370;ul. Skoúna 4;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,707151;19,01415;396;4;7;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
3 Bros' Apart;1196016896;37344278;Cieszyn;undefined;;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;49,7501;18,6294;243;3,5;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Qubus Hotel Bielsko-Biala;370349;4183626;Bielsko-Bia≥a;43-300;Mostowa 2;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,826561;19,048474;272,79;4;9;73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Øywiecki Medical Spa & Sport;533383;11578507;åwinna;34-331;ul. KÍpka 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,631553;19,256278;322;3,5;10;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Komplex Apartamenty Europa Sosnowiec;1064595264;33237352;Sosnowiec;41-200;Sienkiewicza 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,273907;19,127064;312,3;3,5;10;5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Rancho Adama;682848192;21307756;åwinna;34-331;PodgÛrska 83;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,691561;19,336643;140;3;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
3 Bros' Hostel Cieszyn;1189174048;37130439;Cieszyn;43-400;Mennicza 14;WojewÛdztwo úlπskie, Polska;Hostel;Boarding houses;55.2;49,753814;18,670031;81;2;9,4;3;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
Hotel Malinowski Economy;548308;6482349;Gliwice;44-100;Chodkiewicza 33;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,303306;18,69273;187,5;3;8;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
ApartView Wis≥a;972905952;30372061;Wis≥a;43-460;Bukowa 17;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;49,665915;18,859785;496,99;3,5;9;2;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
SAVOY Mariacka Apartments;1042772832;32555401;Katowice;undefined;;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,257494;19,025093;800;3;;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0
Hotel Opera;537362;11580937;Tarnowskie GÛry;42-600;Zamkowa 1;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,443313;18,854529;199;3;8;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Liburnia;389984;4588657;Cieszyn;43-400;ul. Liburnia 10;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,751942;18,636163;165;3;8,2;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Ostaniec;623861;16010928;Kroczyce;42-425;Podlesice 82;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,567485;19,535034;189;3;9;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
DeSilva Inn Katowice Airport;324351;2819439;Oøarowice;42-625;ul. RÛwnoleg≥a 2;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,46095;19,08085;188;3;8,6;114;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
JagielloÒska 3 Apartments;1085374176;33886693;Katowice;40-523;JagielloÒska 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,254267;19,019695;210;;9;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Alpex;455619;8044483;Zabrze;41-819;ul. FranciszkaÒska 8;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,313548;18,766744;119,54;3;9;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartament Mariacka 20;581504;14866005;Katowice;40-014;Mariacka 20;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,257363;19,027286;499;3,5;8,2;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Royal;405888;5020867;Gliwice;44-100;ul. Matejki 10;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,293389;18,668185;229,33;3;8,4;53;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Iskra by Katowice Airport;509264;10486198;MierzÍcice;42-470;ul. Osiedle 60;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,459406;19,090948;185;3;8;28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
APARTAMENTY NOWA KAMIENICA;1245708192;38897131;CzÍstochowa;42-217;Szymanowskiego 22 A;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;50,8115;19,105839;200,01;3;9,6;5;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Tychy ;175329280;5447790;Tychy;43-100;al. Jana Paw≥a II 10;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,112652;18,986868;195,94;3;8,2;56;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
Lesna Perla - Restaurant and Hotel;1364315072;42603596;Rudziniec;44-160;ul. Leúna 1;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,367945;18,407362;235;3;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
Moxy Katowice Airport;933839264;29151227;Oøarowice;42-625;Wolnosci 90;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,46917;19,07431;270;3;8,8;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Amber Gliwice;1365118432;42628701;Gliwice;44-100;Kozielska 72 B;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,302109;18,646683;199;3;8;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
Mercure Cieszyn;310235;920658;Cieszyn;43 400;Motelowa 21;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,76572;18,63477;199;3;8,6;49;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Diament Zabrze/Gliwice;331243;892327;Zabrze;41-800;ul. 3 Maja 122 A;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,287278;18,796126;128,15;3;8;25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Zimnik Luksus Natury;431574;6056776;Lipowa;34-324;Lipowa 990;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,666649;19,077029;310;4;9;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
Qubus Hotel Gliwice;216231;974955;Gliwice;44 100;ul. Dworcowa 27;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,29383;18,67012;265,55;3;8,6;42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Diament Vacanza Siemianowice Slaskie;353020;3675130;Siemianowice ålπskie;41-100;ul. Olimpijska 4;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,303365;19,019756;137,95;3;8,2;27;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Golden Tulip Magnus Bielsko Biala-Bystra;963543552;30079486;gmina Wilkowice;43-360;222 Juliana Falata, Bystra;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,758634;19,027158;269,11;2,5;8,8;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Pensjonat Iskra by Katowice Airport;509279;10486645;MierzÍcice;42-460;ul. Osiedle 94;WojewÛdztwo úlπskie, Polska;Pension;Boarding houses;55.1;50,459679;19,090927;140;2;8;22;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0
ibis Styles Bielsko-Biala;180981;73340;Bielsko-Bia≥a;43-300;Øywiecka 93;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,8064;19,056173;219;3;8,2;33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Meta Apartments;1082769312;33805291;Szczyrk;43-370;ul. Myúliwska 41;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;49,7082;19,0137;385;3,5;6;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0
Apart-Hotel VIVI Residence & SPA;877880160;27402505;Øory;44-240;Promienna;WojewÛdztwo úlπskie, Polska;Apart-hotel;Hotels;55.1;50,0277;18,68802;196,02;4;9,8;16;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Hotel & Spa Kameleon;1344339712;41979366;Øory;44-240;ul. BoryÒska 7;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,042069;18,689408;219;3;;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Malinowski Business;487737;9754644;Gliwice;44-102;ul. Portowa 4;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,313606;18,647648;211;3;8,4;30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Papuga Park Hotel;450200;7520803;Bielsko-Bia≥a;43-382;ul. Zapora 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,79764;18,984399;268;4;8,6;40;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartament TarnogÛrska;974644288;30426384;Gliwice;undefined;;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,30462;18,68434;349;3;;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0
Aries Hotel & SPA Wisla;1234324128;38541379;Wis≥a;43-460;Czarne 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,626132;18,908569;342;4;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0
Hotel Monopol;339718;1489546;Katowice;40-012;ul. Dworcowa 5;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,257596;19,02255;489,99;5;9;68;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hostel Malinowski City;545103;12243834;Gliwice;44-109;ul. Narutowicza 23;WojewÛdztwo úlπskie, Polska;Hostel;Boarding houses;55.2;50,34345;18,627956;60;2;7,2;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Diament Plaza Gliwice;331227;2870934;Gliwice;44-100;ul. ZwyciÍstwa 30;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,2966;18,67088;215,52;4;8;68;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Diament Economy Gliwice;331233;892328;Gliwice;44-100;ul. ZwyciÍstwa 42;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,297503;18,672294;162,42;3;8,6;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Spa & Wellness Hotel Diament Ustron;370079;4173563;UstroÒ;43-450;ul. Zdrojowa 3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,718223;18,826929;266,11;4;7,6;15;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
ApartMood ;800376672;24980521;Katowice;40-093;Katowice;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,26081;19,01637;199;3;7,2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Katowice;632902;16191250;Katowice;40-951;Al. Korfantego 9;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,26201;19,02359;150;3;8;57;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Apartments 4 You Hlonda ;1248340000;38979375;Tychy;43-100;Hlonda 75/1;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,129771;18,977123;218,4;3,5;10;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Sahara;137255552;4257986;Bielsko-Bia≥a;43-316;ul. Falista 13;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,78885;19,0311;225;4;8,6;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel na Podzamczu;676478;17367772;Tarnowskie GÛry;42-612;Pyskowicka 39;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,44017;18,8125;189;4;7,8;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
Park Hotel Diament Zabrze/Gliwice;448431;8045013;Zabrze;41-800;ul. 3-go Maja 122a;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,287473;18,796325;167,335;4;8,4;24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Vestina;644606784;20112712;Wisla;43-460;ul. Malinka 35;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,63537;18,93033;144;3;8,4;19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hostel mPark Myslowice;1323765216;41336413;Mys≥owice;41-404;Fabryczna 7;WojewÛdztwo úlπskie, Polska;Hostel;Boarding houses;55.2;50,195628;19,15025;69,99;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0
Park Hotel Diament Katowice;223317;1635514;Katowice;40-042;ul. Wita Stwosza 37;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,24561;19,01555;221,07;4;8,4;39;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Smart Aps Apartamenty Slowackiego 39;1071679872;33458746;Katowice;40-097;ul. S≥owackiego 39/3;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,259;19,0153;200,01;3;10;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
ibis Katowice Zabrze;198227;799714;Zabrze;41-800;ul. JagielloÒska 4;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,30911;18,78372;179;2;7,6;58;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hostel Orange Tree;962717408;30053669;Bedzin;42-500;27 Modrzejowska;WojewÛdztwo úlπskie, Polska;Hostel;Boarding houses;55.2;50,32494;19,1316;130;2;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Polonia RacibÛrz;1300779776;40618118;RacibÛrz;47-400;Plac Dworcowy 16;WojewÛdztwo úlπskie, Polska;Bed and breakfast;Rooms for guest;55.2;50,089998;18,22501;164;3;7;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
Novotel Katowice Centrum Hotel;124834;792269;Katowice;40-202;Al. Walentego RoüdzieÒskiego 16;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,261353;19,034095;282;4;8,6;203;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0
Hotel Diament Arsenal Palace Katowice/ChorzÛw;352998;792040;ChorzÛw;41-500;ul. Paderewskiego 35;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,290757;18,96385;181,56;4;8,4;37;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
ActivPark Apartments;560673;12501165;Katowice;40-101;Chorzowska 216;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,279157;18,980514;160;4;8,8;42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Kato Apartamenty Centrum;741641792;23145056;Katowice;40-005;Katowice;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,26083;19,02437;175;3,5;9,2;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Park Inn by Radisson Katowice;342738;3487196;Katowice;40-147;Bytkowska 1a;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,290189;19,005764;175,75;4;8;164;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Silesia Apartments;1205968352;37655261;Katowice;40-114;åciegiennego 49;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,277139;19,008641;179,1;3,5;9,4;2;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hornigold w Zielonej Kamienicy;344598;3525646;Katowice;40-059;ul. M. Kopernika 6;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,254697;19,01629;263;3,5;9;124;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
ibis budget Katowice Centrum;1348390656;42105958;Katowice;40202;al. RoüdzieÒskiego 18;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,26115;19,034331;138,99;3;8,2;8;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;1;0
Focus Hotel Katowice Chorzow;438632;6453225;ChorzÛw;41-506;ul. Armii Krajowej 15;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,281816;18,939335;152,925;3;8,4;65;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Seven Hotel;1050130816;32785338;Bytom;41-936;Feliksa Musialika 7;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,349587;18,931257;144;4;9,6;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0
Hotel Katowice Economy;459722;8270111;Katowice;40-951;Al. Korfantego 9;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,262518;19,023123;120;2;7,8;83;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Arche CzÍstochowa;669409;17366551;CzÍstochowa;42-200;ul. OleÒki 20;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,81078;19,09193;234;4;8,8;78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Szafran;425156;4129180;Czeladü;41 250;BÍdziÒska 82;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,317358;19,107117;229;4;9,4;34,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Diament Bella Notte Katowice/ChorzÛw;368343;4111941;ChorzÛw;41-500;ul. Paderewskiego 35;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,290913;18,963646;137,07;3;8;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Lantier;1120942400;34998200;Bytom;41-909;Krzyøowa 24;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,3285;18,931;250;4;8;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Best Western Hotel Mariacki;614217856;19163058;Katowice;40-014;Mariacka 15;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,257427;19,026364;220,51;3,5;9,2;101;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Izabella;460979;8341649;Wis≥a;43-460;ul. Gimnazjalna 10;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;49,648634;18,871257;130;3;7;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Rezydencja Luxury Hotel;415711;5270412;Piekary ålπskie;41-940;ul. Stara 1;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,361687;18,937184;219,09;4;9,2;66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Hotel Modus & Restauracja Mocca D'oro;770921152;24060036;£aziska GÛrne;43-170;ul. úw. Jana Paw≥a II 10B;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,148562;18,848805;179;3,5;7,4;3;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0
Apartmood Moniuszki;1230433120;38419785;Katowice;40-005;Moniuszki 10;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,260863;19,02401;199;3;10;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Campanile Katowice;261422;1150052;Katowice;40018;ul. SowiÒskiego 48;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,24589;19,03544;179;3;8,4;33,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Holiday Inn Dabrowa Gornicza;593103;13296316;Dπbrowa GÛrnicza;41-300;Aleja RÛø 1A;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,318035;19,194392;299;4;9,2;28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Studio Apartament Centrum Katowice ;1190505024;37172032;Katowice;40-092;Mickiewicza 30;WojewÛdztwo úlπskie, Polska;Apartment;Hotels;55.2;50,262061;19,016005;189;3;6;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Milezowka;753350176;23510943;UstroÒ;43-450;Sanatoryjna 52;WojewÛdztwo úlπskie, Polska;Bed and breakfast;Rooms for guest;55.2;49,71078;18,82967;111,15;3;8;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
Sentral Apartments;689161;18163408;Katowice;40-092;Mickiewicza 22/3;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,26082;19,01853;130;2,5;7,2;5;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Willa Jacuu;1445293664;45134177;Szczyrk;43-370;Myúliwska 107 A;WojewÛdztwo úlπskie, Polska;Guest House;Rooms for guest;55.2;49,704516;19,008003;189;3,5;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
Q Hotel Plus Katowice;680283;17881944;Katowice;40-026;ul. WojewÛdzka 12;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,256176;19,02271;251,1;4;9;183;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Alto;551152;12077090;Øory;44-240;ul. Huloki 1;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,044333;18,698644;189;2;9;27;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Vienna House Easy Katowice;339493;3269648;Katowice;40-086;Sokolska 24;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,26325;19,01695;288,29;4;9,2;148;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
ibis Czestochowa;175317;849027;CzÍstochowa;42-200;ul. Jaskrowska 22;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,81768;19,13462;169;2;8,6;74;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Mercure Czestochowa Centrum;181016;83677;CzÍstochowa;42-200;Popie≥uszki 2;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,813592;19,104049;219;2,5;8,2;80;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
B&B Hotel Katowice Centrum;1129991264;35280977;Katowice;40-086;Sokolska 4;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,26077;19,013978;189;2;9,2;24;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
Trzy åwiaty;1563146624;48817082;Gliwice;44-100;KiliÒskiego 10;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,276343;18,670619;252;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
Stara Poczta;1751447808;54701494;Tychy;43-100;Tadeusza Koúciuszki 24;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,129193;18,985445;179,1;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
IRS ROYAL APARTMENTS Nowa Letnica;1178975872;36811746;GdaÒsk;80-534;Starowiejska 60;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,3923;18,64854;157,995;3,5;2;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartinfo Apartments - Neptun Park;493314;10022341;GdaÒsk;undefined;;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,419215;18,605674;179,55;4;8;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0
Villa Pati;653309952;20384686;Kosakowo;81-198;Klebby 16;WojewÛdztwo pomorskie, Polska;Guest House;Rooms for guest;55.2;54,627124;18,494532;150;2,5;;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Apartinfo Waterlane Apartments;412453;5211766;GdaÒsk;80-755;Szafarnia 11;WojewÛdztwo pomorskie, Polska;Hotel;Hotels;55.1;54,347984;18,660759;230,85;3,5;7,4;54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
